Iteration    47 | Cost: 6.716883e-01
Iteration    48 | Cost: 6.714419e-01
Iteration    49 | Cost: 6.713225e-01
Iteration    50 | Cost: 6.712821e-01
Iteration    51 | Cost: 6.712268e-01
Iteration    52 | Cost: 6.708325e-01
Iteration    53 | Cost: 6.703139e-01
Iteration    54 | Cost: 6.690583e-01
Iteration    55 | Cost: 6.677255e-01
Iteration    56 | Cost: 6.675857e-01
Iteration    57 | Cost: 6.673995e-01
Iteration    58 | Cost: 6.672760e-01
Iteration    59 | Cost: 6.671907e-01
Iteration    60 | Cost: 6.671736e-01
Iteration    61 | Cost: 6.671689e-01
Iteration    62 | Cost: 6.671634e-01
Iteration    63 | Cost: 6.671474e-01
Iteration    64 | Cost: 6.669712e-01
Iteration    65 | Cost: 6.668133e-01
Iteration    66 | Cost: 6.667472e-01
Iteration    67 | Cost: 6.667050e-01
Iteration    68 | Cost: 6.666822e-01
Iteration    69 | Cost: 6.666807e-01
Iteration    70 | Cost: 6.666777e-01
Iteration    71 | Cost: 6.666718e-01
Iteration    72 | Cost: 6.666686e-01
Iteration    73 | Cost: 6.666644e-01
Iteration    74 | Cost: 6.666637e-01
Iteration    75 | Cost: 6.666633e-01
Iteration    76 | Cost: 6.666630e-01
Iteration    77 | Cost: 6.666625e-01
Iteration    78 | Cost: 6.666618e-01
Iteration    79 | Cost: 6.666600e-01
Iteration    80 | Cost: 6.666594e-01
Iteration    81 | Cost: 6.666547e-01
Iteration    82 | Cost: 6.666498e-01
Iteration    83 | Cost: 6.666359e-01
Iteration    84 | Cost: 6.666348e-01
Iteration    85 | Cost: 6.666303e-01
Iteration    86 | Cost: 6.666285e-01
Iteration    87 | Cost: 6.666271e-01
Iteration    88 | Cost: 6.666270e-01
Iteration    89 | Cost: 6.666264e-01
Iteration    90 | Cost: 6.666262e-01
Iteration    91 | Cost: 6.666260e-01
Iteration    92 | Cost: 6.666257e-01
Iteration    93 | Cost: 6.666254e-01
Iteration    94 | Cost: 6.666251e-01
Iteration    95 | Cost: 6.666248e-01
Iteration    96 | Cost: 6.666246e-01
Iteration    97 | Cost: 6.666245e-01
Iteration    98 | Cost: 6.666245e-01
Iteration    99 | Cost: 6.666244e-01
Iteration   100 | Cost: 6.666244e-01
Iteration   101 | Cost: 6.666243e-01
Iteration   102 | Cost: 6.666243e-01
Iteration   103 | Cost: 6.666242e-01
Iteration   104 | Cost: 6.666242e-01
Iteration   105 | Cost: 6.666240e-01
Iteration   106 | Cost: 6.666240e-01
Iteration   107 | Cost: 6.666239e-01
Iteration   108 | Cost: 6.666239e-01
Iteration   109 | Cost: 6.666239e-01
Iteration   110 | Cost: 6.666239e-01
Iteration   111 | Cost: 6.666239e-01
Iteration   112 | Cost: 6.666238e-01
Iteration   113 | Cost: 6.666237e-01
Iteration   114 | Cost: 6.666237e-01
Iteration   115 | Cost: 6.666236e-01
Iteration   116 | Cost: 6.666236e-01
Iteration   117 | Cost: 6.666236e-01
Iteration   118 | Cost: 6.666236e-01
Iteration   119 | Cost: 6.666236e-01
Iteration   120 | Cost: 6.666235e-01
Iteration   121 | Cost: 6.666235e-01
Iteration   122 | Cost: 6.666235e-01
Iteration   123 | Cost: 6.666235e-01
Iteration   124 | Cost: 6.666235e-01
Iteration   125 | Cost: 6.666235e-01
Iteration   126 | Cost: 6.666235e-01
Iteration   127 | Cost: 6.666235e-01
Iteration   128 | Cost: 6.666235e-01
Iteration   129 | Cost: 6.666235e-01
Iteration   130 | Cost: 6.666235e-01
Iteration   131 | Cost: 6.666234e-01
Iteration   132 | Cost: 6.666234e-01
Iteration   133 | Cost: 6.666234e-01
Iteration   134 | Cost: 6.666234e-01
Iteration   135 | Cost: 6.666234e-01
Iteration   136 | Cost: 6.666234e-01
Iteration   137 | Cost: 6.666234e-01
Iteration   138 | Cost: 6.666234e-01
Iteration   139 | Cost: 6.666234e-01
Iteration   140 | Cost: 6.666234e-01
Iteration   141 | Cost: 6.666234e-01
Iteration   142 | Cost: 6.666234e-01
Iteration   143 | Cost: 6.666234e-01
Iteration   144 | Cost: 6.666234e-01
Iteration   145 | Cost: 6.666234e-01
Iteration   146 | Cost: 6.666234e-01
Iteration   147 | Cost: 6.666234e-01
Iteration   148 | Cost: 6.666234e-01
Iteration   149 | Cost: 6.666234e-01
Iteration   150 | Cost: 6.666234e-01
Iteration   151 | Cost: 6.666234e-01
Iteration   152 | Cost: 6.666234e-01
Iteration   153 | Cost: 6.666234e-01
Iteration   154 | Cost: 6.666234e-01
Iteration   155 | Cost: 6.666234e-01
Iteration   156 | Cost: 6.666234e-01
Iteration   157 | Cost: 6.666234e-01
Iteration   158 | Cost: 6.666234e-01
Iteration   159 | Cost: 6.666234e-01
Iteration   160 | Cost: 6.666234e-01
Iteration   161 | Cost: 6.666234e-01
Iteration   162 | Cost: 6.666234e-01
Iteration   163 | Cost: 6.666234e-01
Iteration   164 | Cost: 6.666234e-01
Iteration   165 | Cost: 6.666234e-01
Iteration   166 | Cost: 6.666234e-01
Iteration   167 | Cost: 6.666234e-01
Iteration   168 | Cost: 6.666234e-01
Iteration   169 | Cost: 6.666234e-01
Iteration   170 | Cost: 6.666234e-01
Iteration   171 | Cost: 6.666234e-01
Iteration   172 | Cost: 6.666234e-01
Iteration   173 | Cost: 6.666234e-01
Iteration   174 | Cost: 6.666234e-01
Iteration   175 | Cost: 6.666234e-01
Iteration   176 | Cost: 6.666234e-01
Iteration   177 | Cost: 6.666234e-01
Iteration   178 | Cost: 6.666234e-01
Iteration   179 | Cost: 6.666234e-01
Iteration   180 | Cost: 6.666234e-01
Iteration   181 | Cost: 6.666234e-01
Iteration   182 | Cost: 6.666234e-01
Iteration   183 | Cost: 6.666234e-01
Iteration   184 | Cost: 6.666234e-01
Iteration   185 | Cost: 6.666234e-01
Iteration   186 | Cost: 6.666234e-01
Iteration   187 | Cost: 6.666234e-01
Iteration   188 | Cost: 6.666234e-01
Iteration   189 | Cost: 6.666234e-01
Iteration   190 | Cost: 6.666234e-01
Iteration   191 | Cost: 6.666234e-01
Iteration   192 | Cost: 6.666234e-01
Iteration   193 | Cost: 6.666234e-01
Iteration   194 | Cost: 6.666234e-01
